IdAgente,IdeCnjUndCnm,CodigoMunicipio,DatInicioInterrupcao,QtdInterProgramada,QtdInterNaoProgramada,Faixa
5160.0,12668.0,5300108.0,2023-12-09,0.0,1.0,19:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-09,0.0,1.0,19:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-09,0.0,1.0,20:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-10,0.0,0.0,23:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-11,1.0,0.0,15:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-11,1.0,0.0,15:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-11,1.0,0.0,16:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-11,1.0,0.0,16:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-11,1.0,0.0,17:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-11,1.0,0.0,17:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-11,1.0,0.0,18:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-12,1.0,0.0,09:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-12,1.0,0.0,10:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-13,1.0,0.0,16:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-13,1.0,0.0,17:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-13,3.0,0.0,17:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-13,4.0,0.0,18:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-13,1.0,0.0,18:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-13,1.0,0.0,19:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-14,1.0,0.0,11:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-14,1.0,0.0,11:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-14,2.0,0.0,12:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-14,2.0,0.0,12:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-14,2.0,0.0,13:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-14,2.0,0.0,13:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-14,1.0,0.0,14:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-16,1.0,0.0,12:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-16,1.0,0.0,12:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-16,1.0,0.0,13:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-16,1.0,0.0,13:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-16,1.0,0.0,14:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-16,1.0,0.0,14:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-16,1.0,0.0,15:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-16,2.0,0.0,15:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-18,1.0,0.0,17:30:00.0000000
